Q15056995	aircraft_model_3051
Q11436	aircraft_2531
Q15056993	aircraft_family_1743
Q1248784	airport_11999
Q46970	airline_4359
Q695850	airbase_2244
Q7373622	royal_air_force_station_683
Q744913	aviation_incident_1908
Q94993988	commercial_traffic_aerodrome_4615
Q62447	aerodrome_2155
Q3863	asteroid_29813
Q523	star_2649
Q2247863	high_proper-motion_star_1264
Q13890	double_star_676
Q2488	spiral_galaxy_1124
Q265392	near-earth_object_689
Q44559	extrasolar_planet_1542
Q67206785	near-ir_source_3451
Q71798788	uv-emission_source_1838
Q67206691	infrared_source_921
Q1348589	lunar_crater_1097
Q55818	impact_crater_1784
Q41176	building_20074
Q655686	commercial_building_1943
Q1021645	office_building_1333
Q19860854	destroyed_building_or_structure_1303
Q56242063	protestant_church_building_1093
Q1497364	building_complex_1008
Q1088552	catholic_church_building_1001
Q19844914	university_building_870
Q18761864	bank_building_828
Q3947	house_14113
Q23413	castle_4983
Q27686	hotel_4835
Q11303	skyscraper_3172
Q16560	palace_1883
Q751876	ch\u00e2teau_1810
Q879050	manor_house_948
Q1802963	mansion_722
Q1343246	english_country_house_1622
Q1307276	single-family_detached_home_2622
Q13402009	block_of_flats_741
Q1137809	courthouse_797
Q39614	cemetery_3334
Q43501	zoo_1081
Q194195	amusement_park_866
Q167346	botanical_garden_1736
Q7075	library_1619
Q33506	museum_9632
Q207694	art_museum_2942
Q1007870	art_gallery_741
Q483110	stadium_5519
Q641226	arena_1621
Q24354	theatre_3809
Q11315	shopping_centre_3697
Q83405	factory_806
Q16917	hospital_6553
Q39715	lighthouse_2298
Q40357	prison_1938
Q3917681	embassy_1029
Q811979	built_structure_5377
Q811430	fixed_construction_1370
Q17350442	venue_2073
Q15911738	hydroelectric_power_station_1558
Q543654	rathaus_834
Q5003624	memorial_737
Q4989906	monument_2533
Q179700	statue_1786
Q860861	sculpture_3825
Q166118	archives_715
Q131596	farm_906
Q820477	mine_1770
Q130003	ski_resort_789
Q131734	brewery_936
Q22698	park_5827
Q18142	tower_block_889
Q6558431	coal-fired_power_station_853
Q1497375	architectural_ensemble_1179
Q2319498	architectural_landmark_1088
Q4387609	architectural_firm_994
Q811165	architectural_heritage_monument_694
Q11707	restaurant_3865
Q212198	pub_1220
Q746549	dish_1011
Q28564	public_library_1372
Q1114461	comics_character_4319
Q22988604	mythological_greek_character_1964
Q95074	character_943
Q80447738	anime_character_874
Q87576284	manga_character_721
Q26214208	set_of_mythological_greek_characters_666
Q15632617	fictional_human_11849
